time,open,high,low,close,volume
2024-06-24,93.7565,93.7565,88.4653,90.5408,0.0
2024-06-25,90.6654,103.6791,75.6222,77.7842,2247.8882
2024-06-26,77.5846,80.9399,65.4167,66.5493,744.0643
2024-06-27,66.292,66.8443,32.8671,44.5822,8242229.5491
2024-06-28,44.552,48.7442,42.4823,45.7514,10292450.5464
2024-06-29,45.8178,50.7369,42.8796,50.6213,289826.8464
2024-06-30,50.6491,50.6491,41.2218,46.541,1353380.4513
2024-07-01,46.4237,46.4375,37.3777,39.9092,1135943.5442
2024-07-02,39.9502,45.1247,38.4595,44.3683,221077.9258
2024-07-03,44.4125,45.164,40.5602,40.93,26649.4942
2024-07-04,40.8841,40.9057,35.0191,35.0191,3688.0248
2024-07-05,34.7342,35.2607,31.4973,32.7067,92509.33
2024-07-06,32.6236,32.974,25.8004,25.8065,141441.7478
2024-07-07,25.8111,29.6324,25.6563,28.2255,26608.9535
2024-07-08,28.24,29.6933,27.2906,28.4286,819.7095
2024-07-09,28.3689,29.1225,26.6714,26.7097,635.7478
2024-07-10,26.6835,27.0472,25.4562,25.4562,587.3434
2024-07-11,25.4548,28.1347,25.3651,26.9924,33.3943
2024-07-12,26.9964,28.8179,26.5788,28.6155,15.0388
2024-07-13,28.6877,30.1804,28.4086,30.1508,1138.0537
2024-07-14,30.0265,30.1765,29.5069,30.1091,11.342
2024-07-15,29.996,31.7759,29.4948,29.633,52392.1156
2024-07-16,29.6002,29.6002,28.4392,28.6846,0.0
2024-07-17,28.6671,29.1303,27.3643,27.3643,0.0
2024-07-18,27.3178,27.6928,26.7341,27.0287,0.0
2024-07-19,26.9958,27.2719,26.4875,26.9945,9.2319
2024-07-20,26.964,27.0554,20.6149,20.6216,377007.319
2024-07-21,20.68,20.7312,17.3325,19.0639,70247.1084
2024-07-22,19.07,20.5352,18.1412,20.0909,70018.2637
2024-07-23,20.1456,23.2496,19.9863,23.0283,228522.9713
2024-07-24,22.9957,22.9957,21.1829,21.1829,49444.366
2024-07-25,21.2354,21.2354,18.4086,18.4086,759.8406
2024-07-26,18.4424,19.2416,14.0056,14.5618,1089057.8752
2024-07-27,14.5462,14.959,14.3116,14.4184,564008.7695
2024-07-28,14.3973,14.6884,14.0389,14.5642,40.854
2024-07-29,14.5606,14.9557,14.1312,14.2318,84.2224
2024-07-30,14.1747,14.2272,13.5481,13.6105,103.9646
2024-07-31,13.6158,13.6736,13.1412,13.2961,290137.6037
2024-08-01,13.3162,13.3162,12.2763,12.8731,131.153
2024-08-02,12.8433,35.0675,12.4566,19.962,501490.2782
2024-08-03,19.0122,19.0758,15.259,15.4152,2428.9628
2024-08-04,15.3927,15.3963,12.0838,12.0838,992.8985
2024-08-05,12.0333,12.0452,6.0299,6.8171,3227856.4257
2024-08-06,6.7852,7.106,6.1731,6.1731,249432.2889
2024-08-07,6.189,6.314,5.5003,5.5307,478844.569
2024-08-08,5.5196,6.3981,5.4816,6.3166,300757.8798
2024-08-09,6.319,6.319,5.3861,5.605,30297.5721
2024-08-10,5.6316,6.089,5.5393,5.7284,319626.2863
2024-08-11,5.7279,5.7668,5.1362,5.1362,18.2218
2024-08-12,5.1315,5.2187,4.9238,5.0515,380318.7988
2024-08-13,5.0403,5.0403,4.5954,4.6178,206078.4358
